ticker,name,sector,industry,price,week_52_low,week_52_high,market_cap,ebitda,eps,pe_ratio,price_to_sales,book_value_per_share,dividend_yield,sec_filings,revenue_ttm,debt_to_equity,levered_fcf,roa
NOC,Northrop Grumman,Industrials,Aerospace & Defense,487.27,418.6,555.57,70630760448,4457999872,28.33,17.19978821037769,1.7233319,101.14299660667498,0.0171,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NOC,,,,
NOW,ServiceNow,Information Technology,Systems Software,1018.38,637.99,1198.09,210282233856,1824000000,6.89,147.8055152394775,20.09578,45.028000237347854,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NOW,,,,
NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,102.44,51.26,115.38,20750862336,2192999936,4.04,25.356435643564357,0.7379921,9.125000300633308,0.0168,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NRG,,,,
NSC,Norfolk Southern Railway,Industrials,Rail Transportation,255.3,206.71,277.6,57779748864,5888000000,11.57,22.065687121866898,4.7469397,60.93100135697374,0.0214,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NSC,,,,
NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",122.1,83.8,135.45,24823662592,1582000000,5.42,22.527675276752767,3.8926866,5.563000479256364,0.0164,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NTAP,,,,
NTRS,Northern Trust,Financials,Asset Management & Custody Banks,112.29,76.67,113.91,22005471232,,9.77,11.493346980552714,2.8005333,59.853999735936675,0.0274,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NTRS,,,,
NUE,Nucor,Materials,Steel,128.43,112.25,203.0,30157031424,4940151808,8.45,15.19881656804734,0.96154976,87.18800654734883,0.018,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NUE,,,,
NVDA,Nvidia,Information Technology,Semiconductors,120.07,63.69,153.13,3052683657216,61184000000,2.44,49.209016393442624,31.697422,1.7439999256327172,0.00029999999,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NVDA,,,,
NVR,"NVR, Inc.",Consumer Discretionary,Homebuilding,8016.18,7129.1,9964.77,24919658496,2071504000,506.34,15.831615120274915,2.4237614,1393.650963642104,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NVR,,,,
NWS,News Corp (Class B),Communication Services,Publishing,31.65,23.99,32.87,16625808384,1270000000,0.62,51.04838709677419,1.6359154,14.498000215019315,0.0063,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NWS,,,,
NWSA,News Corp (Class A),Communication Services,Publishing,28.12,22.65,30.04,16623195136,1270000000,0.62,45.35483870967742,1.6356583,14.497999796759904,0.0070999996,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NWSA,,,,
NXPI,NXP Semiconductors,Information Technology,Semiconductors,208.55,202.25,296.08,53004234752,4640000000,10.46,19.937858508604204,4.100908,37.03099985652818,0.019199999,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NXPI,,,,
O,Realty Income,Real Estate,Retail REITs,54.64,50.65,64.88,47821529088,4485658112,1.05,52.03809523809524,9.536263,43.94200298972896,0.0583,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=O,,,,
ODFL,Old Dominion,Industrials,Cargo Ground Transportation,185.61,165.49,233.26,39627362304,1971409024,5.72,32.4493006993007,6.6886916,19.53199812940683,0.0056,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ODFL,,,,
OKE,ONEOK,Energy,Oil & Gas Storage & Transportation,97.17,67.05,118.07,56645545984,5612000256,4.72,20.58686440677966,2.8417974,28.9080005040827,0.041300002,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=OKE,,,,
OMC,Omnicom Group,Communication Services,Advertising,86.79,81.42,107.0,17052585984,2420600064,7.32,11.85655737704918,1.1053154,20.25300032133174,0.0324,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=OMC,,,,
ON,ON Semiconductor,Information Technology,Semiconductors,52.34,51.955,85.16,22286215168,2716600064,4.03,12.987593052109181,3.0206718,20.167000021962536,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ON,,,,
ORCL,Oracle Corporation,Information Technology,Application Software,170.06,106.51,198.31,475651014656,21802999808,4.09,41.57946210268949,8.838633,3.158999977188922,0.0083,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ORCL,,,,
ORLY,O'Reilly Auto Parts,Consumer Discretionary,Automotive Retail,1294.42,947.49,1310.25,74727776256,3685244928,40.35,32.07980173482032,4.5441327,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ORLY,,,,
OTIS,Otis Worldwide,Industrials,Industrial Machinery & Supplies & Components,95.42,89.29,106.33,38116569088,2507000064,4.07,23.444717444717444,2.6831317,,0.0163,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=OTIS,,,,
OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,46.65,45.17,71.19,43773702144,12931000320,3.65,12.780821917808218,1.6130635,28.125999897383814,0.018,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=OXY,,,,
PANW,Palo Alto Networks,Information Technology,Systems Software,184.42,130.045,207.24,121016401920,1094400000,3.86,47.777202072538856,15.075229,15.90200049442615,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PANW,,,,
PAYX,Paychex,Industrials,Human Resource & Employment Services,147.67,114.72,150.71,53170503680,2358799872,4.75,31.088421052631578,10.011769,10.555000616488659,0.028900001,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PAYX,,,,
PCAR,Paccar,Industrials,Construction Machinery & Heavy Transportation Equipment,110.88,90.04,125.5,58145472512,5908100096,7.9,14.035443037974682,1.6692687,35.599998189177576,0.012,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PCAR,,,,
PCG,PG&E Corporation,Utilities,Multi-Utilities,15.65,15.32,21.72,34328428544,9317999616,1.28,12.2265625,1.3825941,12.554000249956964,0.0064,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PCG,,,,
PEG,Public Service Enterprise Group,Utilities,Electric Utilities,83.54,57.24,95.22,41621716992,4044999936,4.07,20.525798525798525,3.9905767,32.31900005926827,0.0286,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PEG,,,,
PEP,PepsiCo,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,150.69,141.51,183.41,208405790720,16913000448,6.72,22.424107142857142,2.267252,14.167998863476207,0.0357,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PEP,,,,
PFE,Pfizer,Health Care,Pharmaceuticals,26.52,24.48,31.54,150288580608,18365999104,0.75,35.36,2.531176,16.288000343939675,0.0639,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PFE,,,,
PFG,Principal Financial Group,Financials,Life & Health Insurance,82.45,72.21,91.98,18858457088,-15100000,-0.74,-111.41891891891892,1.3406645,49.00899881302524,0.035,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PFG,,,,
PG,Procter & Gamble,Consumer Staples,Personal Care Products,165.99,153.52,180.43,389221646336,24039999488,6.28,26.431528662420384,4.6388373,20.99599941399924,0.0249,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PG,,,,
PGR,Progressive Corporation,Financials,Property & Casualty Insurance,246.44,179.68,270.62,144367271936,10823199744,14.4,17.113888888888887,2.0062325,46.3629956921771,0.0199,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PGR,,,,
PH,Parker Hannifin,Industrials,Industrial Machinery & Supplies & Components,707.05,488.45,718.32,91011473408,4962157056,24.21,29.20487401900041,4.553738,93.86900573280009,0.0098,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PH,,,,
